epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,14143.7,1.5044,0.75982,1.39888,0.8196,0.77276,0.78294,0.2243,0.33724,1.97137,1.14557,2.06553,0.00587551,0.00587551,0.00587551
69,14343.8,1.49056,0.75386,1.39477,0.81936,0.77116,0.76852,0.21569,0.32945,1.98767,1.16528,2.07387,0.00577311,0.00577311,0.00577311
70,14544.3,1.49456,0.75999,1.39418,0.83665,0.77582,0.77859,0.22915,0.33706,1.98197,1.1566,2.0695,0.0056704,0.0056704,0.0056704
71,14744.5,1.49197,0.74911,1.38777,0.83155,0.78903,0.78847,0.24453,0.34148,1.96837,1.1165,2.06356,0.00556742,0.00556742,0.00556742
72,14944.7,1.4885,0.75011,1.38614,0.83057,0.78367,0.79948,0.22313,0.33325,1.9916,1.11165,2.07268,0.00546421,0.00546421,0.00546421
73,15172.7,1.48468,0.73937,1.38652,0.84932,0.77582,0.78754,0.22268,0.33666,1.98707,1.13532,2.06883,0.00536081,0.00536081,0.00536081
74,15373.9,1.47694,0.73733,1.38494,0.83103,0.77993,0.78119,0.22268,0.33074,1.98477,1.15538,2.07637,0.00525728,0.00525728,0.00525728
75,15582.2,1.47861,0.73188,1.38337,0.82866,0.78542,0.77668,0.22539,0.33199,1.98696,1.15628,2.07846,0.00515366,0.00515366,0.00515366
76,15813.7,1.47229,0.72478,1.37534,0.82639,0.78548,0.77664,0.21459,0.32942,1.98663,1.16489,2.08507,0.00505,0.00505,0.00505
77,16043.9,1.47189,0.72586,1.38072,0.82439,0.77328,0.77238,0.21349,0.32915,1.99233,1.16227,2.08656,0.00494634,0.00494634,0.00494634
78,16240.3,1.46782,0.71868,1.36962,0.80881,0.78959,0.77336,0.20532,0.33099,1.99283,1.14746,2.08992,0.00484272,0.00484272,0.00484272
