epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,13595.5,1.36889,0.61071,0.99291,0.83635,0.79854,0.77871,0.23936,0.33876,1.97509,1.15649,1.36651,0.00715761,0.00715761,0.00715761
56,13840.5,1.3674,0.60918,0.99514,0.83382,0.8157,0.78571,0.24027,0.34203,1.98478,1.13899,1.3716,0.00706335,0.00706335,0.00706335
57,14085.1,1.35662,0.60112,0.99252,0.83311,0.81747,0.79116,0.26739,0.35695,1.94376,1.1288,1.34789,0.0069682,0.0069682,0.0069682
58,14332.1,1.36086,0.60243,0.99422,0.83686,0.80673,0.77383,0.2603,0.34348,1.96824,1.13297,1.37067,0.00687222,0.00687222,0.00687222
59,14577.2,1.3406,0.59351,0.98814,0.84221,0.80256,0.78082,0.25052,0.34024,1.97675,1.15152,1.35765,0.00677543,0.00677543,0.00677543
60,14822.2,1.33993,0.59195,0.99082,0.84499,0.81101,0.79576,0.25182,0.34765,1.97297,1.12164,1.36649,0.00667789,0.00667789,0.00667789
61,15067,1.32831,0.58114,0.98486,0.8472,0.80082,0.79318,0.24836,0.34772,1.97972,1.14116,1.36654,0.00657963,0.00657963,0.00657963
62,15311.9,1.33537,0.58472,0.98236,0.84956,0.80783,0.79542,0.2678,0.35178,1.9504,1.12883,1.35299,0.00648071,0.00648071,0.00648071
63,15556.8,1.32275,0.57701,0.98202,0.85052,0.81227,0.79222,0.26658,0.35394,1.97577,1.15789,1.363,0.00638115,0.00638115,0.00638115
64,15802,1.3333,0.58304,0.98226,0.83803,0.80892,0.79879,0.25495,0.3526,1.96995,1.16118,1.36043,0.00628101,0.00628101,0.00628101
65,16047.2,1.32602,0.57619,0.98563,0.83881,0.80742,0.79473,0.24433,0.34577,1.96604,1.16057,1.36825,0.00618034,0.00618034,0.00618034
66,16292.4,1.3138,0.56336,0.98151,0.84052,0.81093,0.79345,0.27513,0.36056,1.93879,1.18268,1.35996,0.00607916,0.00607916,0.00607916
67,16537.3,1.31129,0.57309,0.9795,0.8404,0.8131,0.79011,0.27599,0.35285,1.94512,1.16073,1.36324,0.00597754,0.00597754,0.00597754
68,16782.4,1.31271,0.57219,0.97584,0.83858,0.80837,0.79761,0.257,0.35519,1.95266,1.13352,1.3691,0.00587551,0.00587551,0.00587551
69,17027.3,1.30493,0.56574,0.97817,0.83849,0.81277,0.80585,0.26031,0.35945,1.95048,1.13739,1.35953,0.00577311,0.00577311,0.00577311
70,17272.5,1.30659,0.56247,0.97688,0.83885,0.81186,0.79194,0.26144,0.35438,1.94773,1.15738,1.3597,0.0056704,0.0056704,0.0056704
71,17517.9,1.29354,0.5588,0.97141,0.83801,0.80965,0.78643,0.26515,0.35185,1.94969,1.14636,1.36296,0.00556742,0.00556742,0.00556742
72,17762.5,1.29814,0.56449,0.97309,0.84158,0.81338,0.78158,0.26572,0.35162,1.95721,1.13517,1.36682,0.00546421,0.00546421,0.00546421
73,18007.3,1.29485,0.55518,0.9722,0.84502,0.81487,0.78986,0.28029,0.35705,1.94487,1.15492,1.36162,0.00536081,0.00536081,0.00536081
74,18254.8,1.28417,0.54858,0.97194,0.84316,0.81338,0.78774,0.27575,0.35597,1.95139,1.16509,1.36001,0.00525728,0.00525728,0.00525728
75,18503.1,1.28074,0.5511,0.97198,0.84383,0.81055,0.78719,0.27362,0.35341,1.949,1.16231,1.3601,0.00515366,0.00515366,0.00515366
76,18750.3,1.27324,0.54761,0.96678,0.84351,0.81883,0.7886,0.25978,0.35344,1.95127,1.16618,1.36396,0.00505,0.00505,0.00505
77,18998.5,1.26313,0.54827,0.96283,0.84923,0.8128,0.79283,0.25212,0.35175,1.95189,1.13717,1.36952,0.00494634,0.00494634,0.00494634
78,19246.6,1.26746,0.54563,0.96685,0.84494,0.81175,0.78969,0.26043,0.35087,1.95117,1.13852,1.37026,0.00484272,0.00484272,0.00484272
79,19494.3,1.27173,0.54549,0.9675,0.84238,0.81697,0.78406,0.2598,0.35305,1.95315,1.1406,1.37309,0.00473919,0.00473919,0.00473919
80,19742.7,1.25152,0.53501,0.96208,0.84178,0.817,0.78757,0.26674,0.35378,1.94983,1.14472,1.3727,0.00463579,0.00463579,0.00463579
81,19989.8,1.24939,0.53118,0.96139,0.84087,0.81855,0.78912,0.27215,0.35321,1.95128,1.15322,1.37785,0.00453258,0.00453258,0.00453258
82,20235.9,1.24414,0.52895,0.9586,0.84027,0.81675,0.78325,0.27657,0.35578,1.95001,1.16878,1.37751,0.0044296,0.0044296,0.0044296
83,20484.1,1.24063,0.52734,0.95627,0.83883,0.81814,0.78783,0.27729,0.35829,1.9488,1.17045,1.37593,0.00432689,0.00432689,0.00432689
84,20732.4,1.23475,0.52645,0.95467,0.84022,0.81708,0.7872,0.2785,0.35287,1.94423,1.1632,1.37464,0.00422449,0.00422449,0.00422449
85,20980.2,1.23109,0.52502,0.95374,0.84241,0.81405,0.78608,0.26974,0.35165,1.95121,1.16835,1.37474,0.00412246,0.00412246,0.00412246
86,21228.3,1.22507,0.52004,0.9541,0.84463,0.81335,0.7859,0.27881,0.35483,1.95534,1.17709,1.37718,0.00402084,0.00402084,0.00402084
87,21476.2,1.22897,0.52188,0.95736,0.84832,0.81405,0.7864,0.26543,0.35326,1.96014,1.17634,1.3778,0.00391966,0.00391966,0.00391966
88,21724.1,1.22083,0.51895,0.95126,0.84589,0.81322,0.78735,0.27143,0.35337,1.96213,1.17138,1.38204,0.00381899,0.00381899,0.00381899
89,21972.4,1.21779,0.51444,0.95045,0.84302,0.81529,0.79047,0.26842,0.35584,1.95523,1.17391,1.38099,0.00371885,0.00371885,0.00371885
90,22217.6,1.20059,0.50606,0.94874,0.84113,0.81458,0.78722,0.26997,0.35086,1.96087,1.17196,1.38592,0.00361929,0.00361929,0.00361929
91,22462.3,1.20815,0.51036,0.95093,0.83664,0.80985,0.78304,0.27311,0.35038,1.96629,1.17438,1.38895,0.00352037,0.00352037,0.00352037
92,22707.2,1.1936,0.50225,0.94576,0.8407,0.81155,0.78758,0.27705,0.35177,1.96454,1.17343,1.3878,0.00342211,0.00342211,0.00342211
93,22952.1,1.18647,0.50134,0.9432,0.84192,0.81058,0.78439,0.26515,0.34941,1.96977,1.17216,1.39533,0.00332457,0.00332457,0.00332457
94,23197.3,1.1831,0.50085,0.9424,0.84086,0.81091,0.78558,0.27715,0.3501,1.96622,1.17488,1.39638,0.00322778,0.00322778,0.00322778
95,23442.5,1.18482,0.49839,0.94179,0.84243,0.81066,0.78719,0.28439,0.35562,1.96196,1.17577,1.39295,0.0031318,0.0031318,0.0031318
96,23687.6,1.17262,0.49961,0.9368,0.84094,0.81297,0.78589,0.28443,0.353,1.96065,1.18521,1.39454,0.00303665,0.00303665,0.00303665
