epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP75(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
56,16519.8,1.5672,0.84375,1.45773,0.80028,0.77119,0.76599,0.21529,0.3215,1.98777,1.23351,2.05552,0.00706335,0.00706335,0.00706335
57,16795,1.57377,0.83689,1.45436,0.80353,0.75503,0.74846,0.22613,0.32094,1.97132,1.26191,2.04571,0.0069682,0.0069682,0.0069682
58,17070.6,1.56367,0.83607,1.44624,0.80818,0.76893,0.76,0.21941,0.32622,1.95381,1.23244,2.03659,0.00687222,0.00687222,0.00687222
59,17345.9,1.55993,0.82075,1.44315,0.80876,0.75927,0.76403,0.21886,0.31815,1.98325,1.23238,2.06594,0.00677543,0.00677543,0.00677543
60,17621.6,1.5575,0.81979,1.45039,0.80597,0.75985,0.76259,0.22861,0.3218,1.99128,1.22984,2.08237,0.00667789,0.00667789,0.00667789
61,17899.1,1.54974,0.81413,1.43736,0.82355,0.76267,0.7675,0.21885,0.32003,1.97326,1.23019,2.05615,0.00657963,0.00657963,0.00657963
62,18174.3,1.55306,0.81766,1.43519,0.80018,0.76951,0.77711,0.22079,0.3277,1.97485,1.20897,2.05444,0.00648071,0.00648071,0.00648071
63,18451.2,1.5428,0.80968,1.4363,0.81799,0.76888,0.77908,0.23354,0.32972,1.94283,1.2168,2.03419,0.00638115,0.00638115,0.00638115
64,18728.2,1.54361,0.80562,1.43684,0.82861,0.76075,0.77963,0.22788,0.33173,1.96175,1.22565,2.0503,0.00628101,0.00628101,0.00628101
65,19003.4,1.5459,0.80713,1.43091,0.81505,0.77357,0.7952,0.23143,0.3363,1.94809,1.20141,2.03648,0.00618034,0.00618034,0.00618034
66,19279,1.5338,0.80111,1.43045,0.81058,0.77055,0.78511,0.24409,0.33729,1.95384,1.19232,2.04536,0.00607916,0.00607916,0.00607916
67,19555.9,1.53374,0.78957,1.42877,0.7972,0.78009,0.7745,0.23443,0.33016,1.9662,1.23079,2.06109,0.00597754,0.00597754,0.00597754
68,19830.3,1.53048,0.79298,1.42395,0.80479,0.77599,0.77476,0.22751,0.3267,1.9547,1.22686,2.05088,0.00587551,0.00587551,0.00587551
69,20166,1.5314,0.79115,1.43062,0.80593,0.76884,0.76022,0.23094,0.32504,1.96119,1.21659,2.05974,0.00577311,0.00577311,0.00577311
70,20462.1,1.51883,0.78455,1.42469,0.82893,0.77077,0.77667,0.23882,0.3285,1.95076,1.22902,2.05311,0.0056704,0.0056704,0.0056704
71,211.461,1.50138,0.75728,1.39507,0.82688,0.77517,0.7745,0.22761,0.32606,1.9481,1.19083,2.05787,0.00556742,0.00556742,0.00556742
