epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,6648.98,1.29185,0.56699,0.96247,0.82707,0.80145,0.76863,0.32584,2.0344,1.15108,1.35455,0.00525728,0.00525728,0.00525728
75,6738.69,1.28509,0.56254,0.95758,0.83282,0.80209,0.7676,0.32795,2.03158,1.15962,1.35006,0.00515366,0.00515366,0.00515366
76,6828.31,1.28504,0.56291,0.95905,0.8264,0.79541,0.76351,0.31955,2.03477,1.15017,1.35151,0.00505,0.00505,0.00505
77,6918,1.2734,0.55607,0.9554,0.82894,0.79234,0.76735,0.32199,2.04639,1.14334,1.35825,0.00494634,0.00494634,0.00494634
78,7007.64,1.27664,0.55203,0.95879,0.83393,0.79536,0.7796,0.32839,2.0311,1.13645,1.35598,0.00484272,0.00484272,0.00484272
79,7097.77,1.2712,0.55375,0.95579,0.83499,0.78927,0.76969,0.32526,2.03244,1.14208,1.35637,0.00473919,0.00473919,0.00473919
80,7187.29,1.27156,0.55273,0.95651,0.83843,0.78697,0.76806,0.32489,2.02497,1.13772,1.35197,0.00463579,0.00463579,0.00463579
81,7276.95,1.26569,0.54337,0.95935,0.82993,0.80512,0.76751,0.32599,2.02186,1.13888,1.35541,0.00453258,0.00453258,0.00453258
82,7366.64,1.26762,0.55287,0.95229,0.83036,0.80109,0.76835,0.3271,2.02153,1.12908,1.35424,0.0044296,0.0044296,0.0044296
83,7456.2,1.25055,0.54517,0.94846,0.83261,0.80517,0.77302,0.32948,2.01612,1.12955,1.35381,0.00432689,0.00432689,0.00432689
84,7545.79,1.24825,0.54172,0.94852,0.8329,0.80078,0.77091,0.32948,2.01107,1.12256,1.3489,0.00422449,0.00422449,0.00422449
85,7635.58,1.24746,0.53845,0.94709,0.82827,0.80119,0.77063,0.32863,2.02328,1.11895,1.35758,0.00412246,0.00412246,0.00412246
86,7725.27,1.23745,0.53447,0.94947,0.82465,0.80503,0.7726,0.3304,2.02702,1.12151,1.36377,0.00402084,0.00402084,0.00402084
87,7815.18,1.23257,0.53261,0.94385,0.82145,0.80359,0.77454,0.33159,2.02422,1.12854,1.36757,0.00391966,0.00391966,0.00391966
88,7904.81,1.23403,0.53139,0.94563,0.82447,0.8,0.77638,0.33284,2.01699,1.12739,1.36864,0.00381899,0.00381899,0.00381899
89,7994.52,1.22121,0.52626,0.9407,0.82406,0.79999,0.77179,0.33132,2.01301,1.13137,1.36938,0.00371885,0.00371885,0.00371885
90,8084.36,1.22922,0.52772,0.94451,0.8219,0.7989,0.77134,0.33122,2.01585,1.14336,1.36923,0.00361929,0.00361929,0.00361929
91,8173.88,1.20943,0.52206,0.93644,0.8097,0.78489,0.75097,0.32663,2.02644,1.14346,1.37052,0.00352037,0.00352037,0.00352037
92,8263.46,1.2094,0.52069,0.93839,0.82653,0.8011,0.77222,0.33113,2.03066,1.14288,1.36758,0.00342211,0.00342211,0.00342211
93,8353.49,1.20499,0.52057,0.93807,0.82734,0.79072,0.77178,0.32984,2.02754,1.13742,1.3653,0.00332457,0.00332457,0.00332457
94,8442.95,1.20526,0.51754,0.93921,0.82024,0.80602,0.77344,0.32951,2.02355,1.13208,1.36366,0.00322778,0.00322778,0.00322778
95,8532.71,1.20245,0.51042,0.93807,0.83175,0.80067,0.78018,0.33264,2.01844,1.12712,1.35884,0.0031318,0.0031318,0.0031318
96,8622.33,1.19397,0.5103,0.93509,0.82594,0.80313,0.77436,0.3326,2.02029,1.12917,1.3589,0.00303665,0.00303665,0.00303665
97,8712.21,1.19032,0.50849,0.93473,0.82543,0.80104,0.769,0.33135,2.02651,1.13138,1.36202,0.00294239,0.00294239,0.00294239
98,8802.09,1.17622,0.50182,0.92781,0.81905,0.7994,0.76855,0.33242,2.0223,1.12531,1.35955,0.00284906,0.00284906,0.00284906
99,8891.66,1.18383,0.50085,0.93228,0.83087,0.79261,0.77024,0.33339,2.02178,1.12795,1.36123,0.00275668,0.00275668,0.00275668
